Jest Excel,0.5,S5,900,53.5,0.52,0.54,5,Jest Excel,2,1
Bonsho,1,G4,900,58,0.51,0.55,4,Bonsho,4,2
,,,,,,,,Snitzel's Joy,4,1
,,,,,,,,Hot Gossip,4,0
,,,,,,,,Kings Of Leon,4,0
Bonsho,0.1,S5,1000,57,0.58,0.58,5,Another Whiskey,3,0
Snitzel's Joy,0.1,G3,1000,54.5,0.58,0.58,5,Alaskan Wolf,3,1
Hot Gossip,0.1,G4,1000,56,0.59,0.59,4,Khaleesi,3,1
Kings Of Leon,0.5,G4,1000,56.5,0.57,0.59,4,Tan Tat Diamond,2,1
Another Whiskey,0.2,G3,1000,57.5,0.59,0.6,3,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Bonsho,0.1,S5,1000,57,0.58,0.58,5,,,
Snitzel's Joy,0.1,G3,1000,54.5,0.58,0.58,5,,,
Hot Gossip,0.1,G4,1000,56,0.59,0.59,4,,,
Kings Of Leon,0.5,G4,1000,56.5,0.57,0.59,4,,,
Another Whiskey,0.2,G3,1000,57.5,0.59,0.6,3,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Snitzel's Joy,0.2,S5,1050,52.5,1,1.01,5,,,
Hot Gossip,0.4,G3,1050,54,1.01,1.03,4,,,
Snitzel's Joy,1,G3,1050,54.5,1,1.04,3,,,
Bonsho,1,G4,1050,55.5,1.01,1.05,,,,
Jest Excel,1.2,G4,1050,56,1.01,1.06,,,,
,,,,,,,,,,
,,,,,,,,,,
Alaskan Wolf,0.5,G3,1100,57.5,1.03,1.05,5,,,
Another Whiskey,0.5,G4,1100,54,1.04,1.06,4,,,
Kings Of Leon,0.2,S5,1100,56,1.05,1.06,3,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Hot Gossip,0.1,G3,1200,53,1.09,1.09,5,,,
,,,,,,,,,,
Khaleesi,0.2,G3,1200,54,1.09,1.1,4,,,
,,,,,,,,,,
Alaskan Wolf,0.7,G3,1200,54,1.09,1.12,3,,,
,,,,,,,,,,
Khaleesi,0.2,G3,1350,51.5,1.18,1.19,5,,,
Tan Tat Diamond,0.2,G4,1350,54.5,1.2,1.21,4,,,
,,,,,,,,,,
Alaskan Wolf,2.8,G3,1350,57,1.19,1.3,3,,,
,,,,,,,,,,
,,,,,,,,,,
Tan Tat Diamond,3.3,G3,1400,54,1.22,1.32,5,,,
Khaleesi,4.6,S7,1400,57,1.24,1.38,4,,,
,,,,,,,,,,
Kings Of Leon,6.6,G3,1400,56,1.23,1.43,3,,,
